name,score,us_modern_2010_plus,nyc_recent_2018_plus
Braelyn,2778,2778,0
Kaylin,2776,2776,0
Ronan,2775,2191,73
Sam,2775,1911,108
Nico,2771,1859,114
Skye,2770,2570,25
Mathew,2765,2557,26
Lana,2764,2524,30
Chris,2764,2380,48
Orion,2758,2406,44
Celine,2758,838,240
Madalyn,2754,2754,0
Uriel,2748,2188,70
Walker,2746,2746,0
Rebekah,2745,2745,0
Alani,2736,1592,143
Darren,2734,2494,30
Kason,2727,2727,0
Kamari,2727,2263,58
Khalil,2720,2168,69
Damon,2718,2718,0
Colten,2709,2709,0
Angie,2709,2397,39
Jaelyn,2707,2707,0
Haven,2698,2698,0
Jonas,2691,2131,70
Briella,2683,2483,25
Kade,2681,2681,0
Barrett,2672,2672,0
Izaiah,2664,2664,0
Chandler,2664,2664,0
Joy,2660,2316,43
Adele,2651,1571,135
Tony,2645,2645,0
Malky,2643,315,291
Quentin,2642,2642,0
Larry,2641,2641,0
Jamari,2634,2418,27
Malka,2631,527,263
Mckinley,2628,2628,0
Zariah,2627,2331,37
Rivky,2624,264,295
Rodrigo,2617,2529,11
Johan,2615,2031,73
Ayaan,2615,1199,177
Shiloh,2613,2077,67
Theo,2611,907,213
Jaylin,2605,2421,23
Kiley,2604,2604,0
Tatiana,2601,2601,0
Jaliyah,2599,2495,13
Hayley,2598,2518,10
Russell,2596,2596,0
Elsie,2594,2594,0
Kailyn,2584,2584,0
Eve,2578,1986,74
Angelique,2573,2477,12
Cyrus,2571,2107,58
Annalise,2569,2177,49
Amara,2565,1749,102
Moses,2564,1892,84
Lacey,2560,2560,0
Bristol,2554,2554,0
Rosalie,2552,2552,0
Alanna,2545,2193,44
Abram,2544,2544,0
Zaiden,2528,2408,15
Dennis,2524,2524,0
Lilian,2523,2443,10
Jimmy,2522,2434,11
Noa,2516,892,203
Adelynn,2513,2345,21
Leonel,2512,2224,36
Leighton,2511,2511,0
Jasmin,2511,2511,0
Kadence,2510,2510,0
Viviana,2507,2427,10
Ace,2504,1712,99
Aileen,2503,2167,42
Porter,2496,2496,0
Shlomo,2493,493,250
Davis,2491,2491,0
Meir,2480,400,260
Marilyn,2479,2479,0
Kennedi,2475,2475,0
Kassidy,2474,2474,0
Mitchell,2463,2463,0
Kamden,2460,2460,0
Dahlia,2458,2082,47
Kobe,2455,2143,39
Gustavo,2446,2446,0
Aleena,2446,1998,56
Rayan,2445,1229,152
Tzvi,2431,407,253
Sylvia,2424,2056,46
Gracelyn,2418,2418,0
Zachariah,2417,2417,0
Brayan,2414,2310,13
Alec,2408,2408,0
Jalen,2405,2405,0
Anabelle,2405,2405,0
Dulce,2396,2396,0
Tenley,2394,2394,0
Skyla,2390,2070,40
Averie,2386,2386,0
Lindsey,2385,2385,0
Lillie,2385,2385,0
Ellis,2384,1944,55
Bridget,2381,2381,0
Danica,2375,2375,0
Maia,2359,1527,104
Lexie,2352,2352,0
Issac,2342,2342,0
Rhys,2338,2058,35
Luciana,2336,1824,64
Lilyana,2335,2335,0
Pierce,2335,2143,24
Journee,2334,1606,91
Priscilla,2330,2330,0
Erica,2330,2330,0
Curtis,2329,2329,0
Beatrice,2324,1428,112
Mikaela,2320,2144,22
Alvin,2317,1717,75
Atticus,2314,2314,0
Jayceon,2313,1969,43
Lea,2313,1745,71
Alberto,2298,2298,0
Zev,2296,424,234
Shmuel,2295,559,217
Baila,2293,341,244
Mekhi,2291,1971,40
Arturo,2289,2209,10
Isaias,2285,1837,56
Ryland,2284,2284,0
Luka,2284,1236,131
Frederick,2279,1847,54
Johanna,2268,2268,0
Lauryn,2268,2188,10
Annika,2268,2172,12
Remy,2265,1289,122
Malcolm,2264,2080,23
Estrella,2259,2259,0
Kenley,2257,2257,0
Bruce,2256,2256,0
Raphael,2250,1330,115
Amalia,2247,807,180
Alma,2242,1138,138
Arjun,2240,1784,57
Yahir,2230,2230,0
Marlee,2224,2224,0
Emilee,2224,2224,0
Gunnar,2223,2223,0
Raizy,2223,319,238
Elian,2222,830,174
Caylee,2221,2221,0
Kieran,2216,1768,56
Kaliyah,2210,2026,23
Simone,2207,1559,81
Lawrence,2205,2205,0
Yaakov,2202,570,204
Yakov,2195,347,231
Bryant,2194,2106,11
Ricky,2191,2191,0
Siena,2187,1627,70
Amani,2186,2106,10
Marvin,2182,2182,0
Aarav,2179,1675,63
Gianni,2176,2000,22
Aspen,2173,2173,0
Avraham,2171,443,216
Cason,2170,2170,0
Ezequiel,2168,1696,59
Raelyn,2164,2164,0
Dane,2163,2163,0
Brenden,2162,2162,0
Annabel,2157,2053,13
Lizbeth,2155,1835,40
Natasha,2145,2145,0
Kiera,2144,2144,0
Zackary,2143,2143,0
Mauricio,2143,2143,0
Aliya,2133,1533,75
Alyson,2132,2132,0
Bailee,2130,2130,0
Lorelei,2124,2124,0
Hamza,2124,1140,123
Nikolas,2119,2039,10
Alijah,2118,2118,0
Jaycee,2112,2112,0
Frances,2112,1288,103
Brenda,2107,2107,0
Major,2105,1681,53
Alfredo,2090,2010,10
Warren,2088,2088,0
Melina,2088,1800,36
Gwendolyn,2087,2087,0
Erika,2086,2086,0
Gloria,2084,2084,0
Orlando,2080,2080,0
Jamison,2077,2077,0
Finnegan,2077,1997,10
Byron,2072,1912,20
Maurice,2070,2070,0
Nataly,2069,2069,0
Helena,2065,1897,21
Paola,2059,2059,0
Francis,2059,1579,60
Brinley,2051,2051,0
Anahi,2051,2051,0
Kimora,2049,1657,49
Abdullah,2049,1033,127
Madyson,2048,2048,0
Ahmad,2046,1678,46
Sidney,2044,1956,11
Libby,2042,1002,130
Jaelynn,2032,2032,0
Quincy,2022,1846,22
Mathias,2022,1174,106
Jadiel,2021,1213,101
Channing,2019,2019,0
Talon,2016,2016,0
Cullen,2009,2009,0
Hallie,2007,2007,0
Jacoby,2006,2006,0
Lance,2005,2005,0
Emmalyn,2005,2005,0
Pearl,2001,1153,106
Devorah,1999,351,206
Madilynn,1996,1996,0
Liberty,1995,1995,0
Raven,1989,1989,0
Shayla,1986,1986,0
Everly,1984,1248,92
Aryanna,1977,1977,0
Whitney,1976,1976,0
Kasen,1976,1976,0
Virginia,1974,1878,12
Alia,1971,1323,81
Kash,1969,1881,11
Amare,1967,1967,0
Anika,1960,1872,11
Tenzin,1959,319,205
Brenna,1956,1956,0
Ciara,1949,1949,0
Kristopher,1948,1948,0
Dina,1939,531,176
Margot,1934,670,158
Leyla,1932,1372,70
Rhett,1926,1926,0
Yareli,1926,1846,10
Anne,1922,1922,0
Selah,1918,1918,0
Jaylynn,1918,1918,0
Shaindy,1917,293,203
Kairo,1914,58,232
Zain,1912,1088,103
Tori,1910,1646,33
Lainey,1902,1902,0
Franklin,1900,1900,0
Farrah,1899,1899,0
Santino,1889,1329,70
Leia,1887,1399,61
Joe,1886,1886,0
Janiya,1883,1883,0
Elsa,1882,1882,0
Evie,1882,1682,25
Kelvin,1878,1678,25
Gary,1877,1877,0
Irene,1876,1508,46
Dana,1868,1772,12
Perla,1867,1867,0
Brett,1866,1866,0
Braeden,1863,1863,0
Nathalie,1860,1860,0
Julien,1853,1557,37
Matilda,1853,1349,63
Quinton,1849,1849,0
Tobias,1848,1848,0
Isabela,1848,1664,23
Mira,1839,1335,63
Elyse,1836,1836,0
Anabella,1835,1835,0
Regina,1834,1834,0
Deandre,1834,1834,0
Sullivan,1833,1833,0
Douglas,1832,1832,0
Conor,1832,1632,25
Marie,1829,1829,0
Rosa,1828,1716,14
Laney,1827,1827,0
Dorian,1827,1827,0
Desiree,1826,1826,0
Abbigail,1824,1824,0
Nash,1823,1823,0
Zoie,1822,1822,0
Claudia,1822,1822,0
Miah,1819,1723,12
Ariah,1819,995,103
Evelynn,1815,1815,0
Eliezer,1815,591,153
Ramon,1813,1813,0
Nelson,1809,1625,23
Colette,1807,1143,83
Raquel,1806,1614,24
Aryan,1804,1228,72
Sincere,1792,1408,48
Nancy,1787,1787,0
Royce,1787,1675,14
Yitty,1785,201,198
Yael,1784,992,99
Charley,1783,1783,0
Roy,1783,1687,12
Harlow,1782,1686,12
Willa,1778,1154,78
Kaylynn,1777,1777,0
Eddie,1776,1776,0
Harry,1774,1150,78
Omari,1772,1220,69
Kane,1771,1771,0
Rosemary,1767,1671,12
Amelie,1764,1556,26
Millie,1757,1349,51
Jensen,1752,1752,0
Elisabeth,1752,1752,0
Aldo,1751,1751,0
Rohan,1749,1581,21
Terry,1748,1748,0
Abdiel,1748,876,109
Salvador,1746,1746,0
Jaylee,1746,1746,0
Alonzo,1742,1742,0
Natalee,1740,1740,0
Dominik,1737,1737,0
Denise,1737,1649,11
Wilson,1734,1486,31
Madalynn,1733,1733,0
Clark,1733,1645,11
Eileen,1731,1163,71
Cannon,1730,1730,0
Sariah,1723,1643,10
Marina,1720,1616,13
Halle,1716,1716,0
Roger,1715,1715,0
Boston,1715,1715,0
Korbin,1710,1710,0
Hailee,1707,1707,0
Ernesto,1706,1706,0
Hadassah,1706,1122,73
Teresa,1704,1704,0
Maleah,1703,1703,0
Emmy,1703,1255,56
Lawson,1702,1702,0
Asa,1697,1697,0
Giana,1695,1695,0
Kristian,1692,1692,0
Zayn,1688,264,178
Raiden,1686,1686,0
Sherlyn,1685,1429,32
Myah,1682,1682,0
Nickolas,1679,1679,0
Isis,1676,1676,0
Luciano,1674,1402,34
Lina,1674,1066,76
Uriah,1664,1664,0
Layne,1664,1664,0
Landry,1664,1664,0
Wade,1663,1663,0
Meredith,1662,1662,0
Jazlynn,1662,1662,0
Saniyah,1662,1542,15
Alissa,1661,1661,0
Amya,1659,1659,0
Jaxton,1656,1656,0
Arely,1656,1656,0
Keyla,1654,1206,56
Madden,1647,1647,0
Keagan,1644,1644,0
Mollie,1643,1563,10
Sandra,1642,1642,0
Nathanael,1638,1638,0
Linda,1638,1638,0
Danika,1638,1638,0
Jefferson,1638,1294,43
Shaya,1635,195,180
Cecelia,1632,1632,0
Kathleen,1629,1629,0
Carl,1629,1629,0
Greta,1628,1540,11
Ben,1626,1082,68
Case,1621,1621,0
Marc,1620,1476,18
Ember,1619,1619,0
Ally,1618,1618,0
Kian,1616,1528,11
Marisol,1614,1614,0
Karlee,1609,1609,0
Clarissa,1609,1609,0
Sury,1608,144,183
Kenya,1603,1603,0
Edith,1600,1264,42
Janessa,1599,1599,0
Demetrius,1599,1599,0
Zainab,1599,791,101
Kassandra,1594,1594,0
Davion,1592,1592,0
Jaylene,1591,1495,12
Blakely,1588,1588,0
Braiden,1587,1587,0
Salvatore,1587,787,100
Dominique,1583,1583,0
Amiya,1582,1582,0
Aiyana,1582,1582,0
Dov,1582,294,161
Malakai,1580,1580,0
Emersyn,1580,1580,0
Rodney,1579,1579,0
Kayson,1577,1409,21
Cara,1575,1575,0
Chany,1573,197,172
Kristen,1572,1572,0
Gracelynn,1565,1565,0
Emory,1565,1565,0
Lesly,1565,1389,22
Aliza,1564,908,82
Blaine,1559,1559,0
Ansley,1559,1559,0
Xzavier,1553,1553,0
Kaylani,1553,521,129
Briley,1552,1552,0
Lilianna,1548,1548,0
Joslyn,1548,1548,0
Terrance,1547,1547,0
Noe,1547,1547,0
Milani,1542,646,112
Trace,1541,1541,0
Joey,1540,1540,0
Brodie,1540,1540,0
Zahra,1539,843,87
Paityn,1538,1538,0
Lindsay,1538,1538,0
Deacon,1532,1532,0
Alessandro,1532,1268,33
Chava,1532,324,151
Patricia,1530,1530,0
Jamarion,1530,1530,0
Mendel,1530,218,164
Felicity,1528,1528,0
Lylah,1526,1526,0
Cairo,1525,221,163
Elisha,1524,1524,0
Hindy,1524,236,161
Camron,1522,1522,0
Chad,1517,1517,0
Carmelo,1517,1517,0
Arlo,1517,805,89
Malaysia,1516,1516,0
Asia,1516,1516,0
Laylah,1512,1512,0
Cataleya,1512,1272,30
Jasiah,1509,1205,38
Bria,1505,1505,0
Amirah,1505,1161,43
Cindy,1503,1503,0
Allan,1503,1271,29
Livia,1495,1239,32
Emilie,1494,1494,0
Shaun,1493,1493,0
Braylee,1491,1491,0
Lailah,1489,1489,0
Lucian,1487,1487,0
Kristina,1487,1487,0
Jaxen,1486,1486,0
Jon,1486,1406,10
Beckham,1485,1485,0
Alessia,1485,517,121
Bryanna,1482,1482,0
Alisha,1480,1112,46
Mckayla,1477,1477,0
Giovani,1477,1477,0
Callen,1474,1474,0
Zayne,1472,1472,0
Ivanna,1471,1255,27
Wendy,1469,1469,0
Campbell,1469,1469,0
Karsyn,1464,1464,0
Neil,1464,1272,24
Zaire,1464,760,88
Braelynn,1462,1462,0
Jaida,1461,1461,0
Melvin,1455,1455,0
Jeffery,1454,1454,0
Kiana,1453,1453,0
Lara,1452,980,59
Kallie,1449,1449,0
Yasmin,1448,1448,0
Fatoumata,1448,224,153
Christine,1447,1447,0
Ayanna,1444,1444,0
Meghan,1444,1252,24
Shea,1444,852,74
Bentlee,1441,1441,0
Maxim,1436,1116,40
Leanna,1432,1432,0
Amaia,1430,174,157
Kailee,1425,1425,0
Micheal,1422,1422,0
Noemi,1421,1421,0
Mariyah,1421,1421,0
Hana,1420,1116,38
Shulem,1418,194,153
Ellen,1414,1414,0
Dayton,1414,1414,0
Jaidyn,1411,1411,0
Samir,1410,1026,48
Guillermo,1409,1409,0
Jaydon,1408,1408,0
Tabitha,1406,1406,0
Winston,1403,1107,37
Diamond,1400,1400,0
Tomas,1400,1232,21
Adelina,1399,1199,25
Clare,1398,1398,0
Makai,1397,1197,25
Juniper,1396,1036,45
Jermaine,1395,1395,0
Aliana,1392,1392,0
Ean,1392,792,75
Kehlani,1392,0,174
Kourtney,1391,1391,0
Kaleigh,1390,1390,0
Adrienne,1388,1388,0
Esme,1385,809,72
Liv,1384,736,81
Alayah,1380,1380,0
Leonard,1380,1180,25
Shannon,1379,1379,0
Paloma,1378,1202,22
Matthias,1375,1095,35
Elaine,1373,1293,10
Celia,1364,1276,11
Taryn,1362,1362,0
Jadyn,1362,1362,0
Ayleen,1356,1252,13
Jonathon,1355,1355,0
Alonso,1352,1176,22
Dariel,1352,608,93
Elianna,1351,1239,14
Milana,1350,878,59
Layton,1349,1349,0
Taliyah,1347,1347,0
Lisa,1346,1346,0
Emelia,1345,1345,0
Antonella,1345,561,98
Semaj,1344,1344,0
Iliana,1342,1342,0
Tommy,1340,1340,0
Charleigh,1340,1340,0
Memphis,1337,1337,0
Willie,1335,1335,0
Carlee,1335,1335,0
Remi,1335,831,63
Aimee,1334,1334,0
Cory,1333,1333,0
Felipe,1325,1237,11
Kaitlynn,1324,1324,0
Sylas,1321,1321,0
Noor,1321,737,73
Goldy,1319,159,145
Reginald,1318,1318,0
Nikolai,1318,1318,0
Bobby,1318,1318,0
Raylan,1316,1316,0
Brisa,1314,1314,0
Alaya,1314,1042,34
Reyna,1313,1313,0
Javon,1313,1313,0
Jael,1312,976,42
Kylan,1311,1311,0
Jolie,1311,1311,0
Alena,1311,1311,0
Simcha,1310,190,140
Demi,1304,1144,20
Tripp,1303,1303,0
Rex,1303,1303,0
Daxton,1302,1302,0
Aydin,1300,1220,10
Terrence,1299,1299,0
Elin,1298,1298,0
Cherish,1298,1298,0
Mae,1298,1210,11
Alisson,1298,1138,20
Triston,1292,1292,0
Kareem,1292,1108,23
Martha,1290,1290,0
Jocelynn,1286,1286,0
Addilyn,1286,1286,0
Azariah,1285,1205,10
Jagger,1283,1283,0
Sterling,1281,1281,0
Terrell,1280,1280,0
Jamir,1279,975,38
Zaria,1278,1190,11
Kale,1277,1277,0
Janae,1277,1277,0
Jordynn,1276,1276,0
Zaniyah,1275,1275,0
Carolyn,1274,1274,0
Charli,1271,1271,0
Billy,1269,1269,0
Valentino,1268,980,36
Saniya,1267,1267,0
Kynlee,1267,1267,0
Rihanna,1266,1266,0
Marlon,1266,1266,0
Corinne,1264,1264,0
Lewis,1263,1263,0
Lee,1262,1262,0
Heather,1262,1262,0
Mercedes,1261,1261,0
Nechama,1261,325,117
Esty,1260,92,146
Dovid,1258,322,117
Jemma,1256,1256,0
Chanel,1252,1172,10
Analia,1252,908,43
Eliyahu,1248,368,110
Arham,1247,95,144
Kailani,1242,706,67
Lennon,1241,1241,0
Benson,1241,1241,0
Luz,1239,1047,24
Zechariah,1237,1237,0
Kasey,1237,1237,0
Devyn,1237,1237,0
Emmalee,1235,1235,0
Lennox,1235,1043,24
Will,1234,1234,0
Shia,1233,273,120
Blair,1231,1071,20
Bently,1228,1228,0
America,1228,1228,0
Kole,1226,1226,0
Cristopher,1226,1146,10
Lorelai,1225,1225,0
Leandro,1225,865,45
Malaya,1222,1222,0
Aryana,1222,1222,0
Kensley,1219,1219,0
Winter,1218,1010,26
Jamal,1210,1210,0
Yousef,1210,706,63
Kody,1207,1207,0
Macey,1206,1206,0
Kaya,1204,1204,0
Urijah,1203,1203,0
Destinee,1203,1203,0
Ulises,1202,1202,0
Jadon,1201,1201,0
Saige,1201,1057,18
Ray,1198,1198,0
Jayde,1197,1197,0
Tristian,1196,1196,0
Dax,1193,1193,0
Yaritza,1193,1113,10
Barbara,1192,1192,0
Wynter,1187,571,77
Rene,1182,1182,0
Lillianna,1181,1181,0
Zariyah,1179,1179,0
Soren,1178,1178,0
Paulina,1178,1178,0
Mara,1172,1092,10
Hayes,1172,1092,10
Aryeh,1171,275,112
Stanley,1168,1168,0
Ronnie,1168,1168,0
Tegan,1166,1166,0
Niko,1166,1166,0
Gerald,1165,1165,0
Abril,1165,1165,0
Sonia,1163,1163,0
Renata,1163,1163,0
Odin,1163,1163,0
Julianne,1163,1163,0
Sariyah,1162,890,34
Yadiel,1162,634,66
Carla,1160,1160,0
Giovanna,1158,1078,10
Haleigh,1154,1154,0
Louisa,1153,577,72
Hattie,1152,1152,0
Kenny,1149,1069,10
Deborah,1147,1147,0
Paula,1145,1145,0
Hank,1145,1145,0
Giada,1145,1145,0
Myra,1145,1041,13
Rochel,1145,321,103
Lipa,1143,151,124
Mindy,1142,286,107
Taraji,1141,1141,0
Nathaly,1141,1141,0
Musa,1141,421,90
Jenny,1138,1138,0
Krystal,1137,1137,0
Kyndall,1134,1134,0
Zaid,1133,637,62
Angeline,1132,1132,0
Darian,1131,1131,0
Edison,1131,971,20
Avrohom,1131,339,99
Susan,1130,1130,0
Keily,1127,647,60
Regan,1126,1126,0
Kaitlin,1126,1126,0
Isiah,1121,1121,0
Dwayne,1121,1121,0
Frankie,1118,1118,0
Kimber,1114,1114,0
Aydan,1114,1114,0
Bowen,1113,1113,0
Lamar,1112,1112,0
Camdyn,1110,1110,0
Marquis,1108,1108,0
Vicente,1107,1107,0
Suri,1106,650,57
Oakley,1105,1105,0
Mina,1105,1105,0
Nola,1103,1103,0
Kaiya,1103,1103,0
Bryn,1097,1097,0
Emmitt,1096,1096,0
Yechiel,1096,216,110
Averi,1094,1094,0
Salma,1093,1093,0
Blima,1093,173,115
Kolby,1091,1091,0
Alyvia,1091,1091,0
Carlie,1090,1090,0
Aya,1090,746,43
Sharon,1089,1089,0
Paislee,1087,1087,0
Kendal,1086,1086,0
Leona,1086,1006,10
Renee,1084,996,11
Karissa,1083,1083,0
Pessy,1083,163,115
Patience,1080,1080,0
Aurelia,1078,790,36
Giovanny,1077,1077,0
Branson,1076,1076,0
Vihaan,1076,980,12
Rogelio,1075,1075,0
Jana,1075,755,40
Bracha,1075,227,106
Roland,1074,1074,0
Rashad,1074,1074,0
Lilia,1074,994,10
Ishaan,1074,898,22
Valery,1074,762,39
Bodhi,1074,714,45
Kaylen,1073,1073,0
Alexzander,1070,1070,0
Yocheved,1070,238,104
Raina,1069,1069,0
Princeton,1069,877,24
Miya,1068,868,25
Jerome,1067,1067,0
Kymani,1064,1064,0
Deanna,1063,1063,0
Ryann,1060,1060,0
Diya,1059,891,21
Syed,1059,467,74
Rayna,1057,1057,0
Kyson,1056,1056,0
Jaqueline,1056,1056,0
Deshawn,1056,1056,0
Tamia,1054,1054,0
Tristin,1051,1051,0
Augustus,1050,1050,0
Khadija,1050,322,91
Samiyah,1049,1049,0
Tara,1047,1047,0
Avah,1044,1044,0
Moriah,1043,1043,0
Kaylyn,1043,1043,0
Carley,1041,1041,0
Darrell,1039,1039,0
Sky,1037,1037,0
Rachael,1035,1035,0
Jewel,1035,939,12
Arian,1033,1033,0
Akiva,1033,241,99
Dixie,1032,1032,0
Brent,1032,1032,0
Conrad,1031,1031,0
Naftali,1031,151,110
Gauge,1030,1030,0
Jakayla,1029,1029,0
Vincenzo,1029,941,11
Clay,1027,1027,0
Rayne,1024,1024,0
Davin,1024,1024,0
Princess,1023,927,12
Hassan,1023,839,23
Poppy,1023,351,84
Abbie,1022,1022,0
Ariyah,1022,758,33
Camren,1021,1021,0
Batsheva,1021,421,75
Cedric,1020,1020,0
Javion,1019,1019,0
Ingrid,1019,1019,0
Yamileth,1018,1018,0
Shaniya,1015,1015,0
Yesenia,1013,1013,0
Draven,1013,1013,0
Otto,1013,805,26
Hershy,1013,133,110
Marcelo,1010,898,14
Maliah,1009,1009,0
Lilyanna,1009,1009,0
Audriana,1009,1009,0
Bruno,1008,1008,0
Roselyn,1005,1005,0
Jairo,1005,1005,0
Casen,1004,1004,0
Adrien,1003,1003,0
Royal,1003,539,58
Markus,1002,1002,0
Crosby,1002,1002,0
Larissa,1001,1001,0
Sloan,998,998,0
Natalya,997,997,0
Ayesha,997,301,87
Yides,994,130,108
Cristina,993,993,0
Saanvi,993,913,10
Sonny,993,641,44
Adina,993,313,85
Kenna,992,992,0
Aidyn,992,992,0
Nixon,991,991,0
Osvaldo,990,990,0
Azaria,990,990,0
Bryleigh,989,989,0
Kenzo,989,197,99
Tyrone,986,986,0
Cheyanne,985,985,0
Ayana,985,985,0
Dalia,982,806,22
Zayan,981,205,97
Britney,980,980,0
Sarahi,979,883,12
Karlie,976,976,0
Branden,976,976,0
Aubri,976,976,0
Haylie,975,975,0
Gisselle,975,975,0
Zissy,975,111,108
Westin,971,971,0
Yehudis,971,219,94
Bronson,969,969,0
Giancarlo,968,968,0
Alannah,967,967,0
Coraline,966,966,0
Araceli,966,966,0
Jazmyn,965,965,0
Wayne,964,964,0
Mayson,964,964,0
Galilea,964,964,0
Aaden,961,961,0
Kamiyah,961,697,33
Alfonso,960,960,0
Davian,959,959,0
Junior,959,871,11
Lilith,957,957,0
Joyce,957,957,0
Brendon,957,957,0
Sanai,956,676,35
Zavier,955,955,0
Kolten,952,952,0
Craig,951,951,0
Alisa,951,839,14
Maritza,950,950,0
Avi,950,510,55
Milania,948,948,0
Marcel,948,852,12
Brennen,947,947,0
Ayan,946,458,61
Eugene,944,944,0
Mustafa,943,679,33
Youssef,942,382,70
Duncan,941,941,0
Chace,941,941,0
Judith,940,940,0
Charity,940,940,0
Kingsley,940,716,28
Steve,939,939,0
Rudy,939,939,0
Aleigha,936,936,0
Zoya,935,503,54
Hayleigh,933,933,0
Henny,932,124,101
Marianna,931,931,0
Kairi,928,928,0
Jorden,927,927,0
Tess,926,926,0
Aubrianna,926,926,0
Kirsten,925,925,0
Mayer,925,149,97
Blaze,924,924,0
Mamadou,924,164,95
Karis,923,923,0
Sanaa,921,921,0
Killian,921,921,0
Akira,920,920,0
Belen,918,918,0
Shmiel,918,110,101
Kenia,915,915,0
Alden,915,915,0
Frida,915,715,25
Cailyn,914,914,0
Karma,913,913,0
Aviana,910,910,0
Riya,909,909,0
Kaeden,907,907,0
Dorothy,907,907,0
Yoselin,903,903,0
Thalia,903,903,0
Harvey,903,903,0
Darwin,902,902,0
Elina,902,630,34
Temperance,901,901,0
Jolene,899,899,0
Vance,898,898,0
Jovanni,897,897,0
Mabel,897,785,14
Misael,896,896,0
Samira,896,704,24
Meadow,895,895,0
India,894,814,10
Shoshana,893,309,73
Lev,891,179,89
Blimy,890,130,95
Gavyn,889,889,0
Carleigh,889,889,0
Fraidy,888,136,94
Sutton,887,887,0
Yoel,887,295,74
Ronin,886,886,0
Jovani,886,886,0
Stacy,886,798,11
Zyaire,886,550,42
Van,885,885,0
Camilo,885,669,27
Ann,884,884,0
Quintin,883,883,0
Laurel,883,883,0
Usher,882,146,92
Maximo,881,801,10
Kinsey,879,879,0
Lionel,878,878,0
Jaycob,878,654,28
Jaylyn,877,877,0
Azalea,875,875,0
Louise,875,387,61
Tianna,874,874,0
Kaelynn,874,874,0
Samson,873,873,0
Marisa,873,873,0
Johnathon,871,871,0
Mattie,868,868,0
Adyson,868,868,0
Heidy,868,780,11
Rayden,867,867,0
Nahla,867,867,0
Kayleen,867,763,13
Charlize,866,866,0
Kori,864,768,12
Jair,864,752,14
Rolando,861,861,0
Estelle,861,685,22
Damarion,860,860,0
Ramiro,858,858,0
Estella,858,858,0
Reign,856,192,83
Kamron,855,855,0
Ruchy,855,79,97
Abbey,854,854,0
Eason,853,221,79
Leonidas,852,852,0
Kora,851,851,0
Neveah,850,850,0
Fisher,850,850,0
Litzy,850,770,10
Konner,849,849,0
Carissa,849,849,0
