name,score,us_modern_2010_plus,nyc_recent_2018_plus
Jean,849,753,12
Jamar,848,848,0
Maison,848,552,37
Kylah,847,847,0
Abrielle,847,847,0
Reina,847,759,11
Esperanza,846,846,0
Aminata,846,182,83
Belinda,844,844,0
Yehoshua,844,236,76
Ashtyn,843,843,0
Mike,842,754,11
Sylvie,842,442,50
Kelsie,839,839,0
Alaysia,839,839,0
Thea,839,447,49
Ireland,838,838,0
Fletcher,838,838,0
Callum,838,838,0
Justus,837,837,0
Liba,837,93,93
Bree,836,836,0
Selina,836,676,20
Heath,835,835,0
Naftuli,835,75,95
Marlene,834,834,0
Shloimy,833,65,96
Antoine,832,832,0
Anabel,832,832,0
Astrid,831,671,20
Rosie,831,535,37
Makena,830,830,0
Valentin,830,742,11
Mendy,830,94,92
Harold,829,829,0
Kiersten,827,827,0
Damion,827,827,0
Stefan,827,747,10
Alvaro,825,825,0
Inaaya,825,121,88
Shlome,825,81,93
Katrina,823,823,0
Emmalynn,823,823,0
Cale,823,823,0
Kyndal,822,822,0
Deangelo,822,822,0
Yara,821,613,26
Idy,821,53,96
Inaya,820,228,74
Lillyana,819,819,0
Austyn,819,819,0
Krish,818,818,0
Konnor,818,818,0
Annabell,818,818,0
Rodolfo,817,817,0
Avianna,817,817,0
Randall,816,816,0
Aliah,816,664,19
Ralph,816,568,31
Micaela,815,719,12
Evalyn,814,814,0
Milena,812,812,0
Crew,810,810,0
Trevon,809,809,0
Kailynn,809,809,0
Jaeden,809,809,0
Isabell,808,808,0
Tia,807,807,0
Faiga,807,183,78
Tinley,806,806,0
Cambria,806,806,0
Vienna,806,702,13
Karly,803,803,0
Julieta,802,802,0
Jacquelyn,802,802,0
Emmaline,802,802,0
Coleman,802,802,0
Franco,801,721,10
Scarlette,800,800,0
Azul,800,800,0
Xiomara,800,704,12
Yandel,799,799,0
Jacey,799,799,0
Cain,798,798,0
Bayleigh,798,798,0
Caydence,797,797,0
Joelle,796,716,10
Giavanna,795,795,0
Xavi,794,794,0
Nala,794,538,32
Seamus,793,793,0
Ameer,792,680,14
Keenan,791,791,0
Shalom,789,181,76
Ellison,788,788,0
Flynn,787,787,0
Amos,787,787,0
Samiya,786,786,0
Nathalia,784,784,0
Annalee,783,783,0
Freya,783,607,22
Laniyah,782,782,0
Lazer,780,92,86
Yazmin,779,779,0
Tania,778,778,0
Arnav,778,778,0
Kendyl,777,777,0
Joziah,777,689,11
Gilberto,776,776,0
Mylee,775,775,0
Imran,774,318,57
Mercy,773,773,0
Brogan,773,773,0
Malak,773,581,24
Amora,773,453,40
Francesco,772,380,49
Raylee,771,771,0
Shira,769,281,61
Audrianna,768,768,0
Janet,766,766,0
Amaris,766,766,0
Rhea,766,598,21
Antonia,765,685,10
Neymar,764,764,0
Braylin,762,762,0
Aanya,762,762,0
Devora,760,176,73
Karleigh,759,759,0
Dalilah,759,759,0
Yamilet,758,758,0
Aditya,758,758,0
Shyla,757,757,0
Wren,756,756,0
Makhi,755,755,0
Milagros,754,754,0
Jaleah,754,754,0
Gibson,754,754,0
Roxanne,752,752,0
Noam,751,263,61
Aubrielle,750,750,0
Morris,750,190,70
Yuliana,749,749,0
Vaughn,749,749,0
Jamya,749,749,0
Amayah,749,565,23
Marleigh,748,748,0
Kyree,747,747,0
Hendrix,747,747,0
Gwyneth,747,747,0
Elissa,746,746,0
Carina,746,746,0
Layan,745,233,64
Harlee,744,744,0
Ashanti,744,744,0
Masen,743,743,0
Dream,743,151,74
Kamdyn,742,742,0
Jedidiah,739,739,0
Lyra,737,737,0
Efrain,737,737,0
Dilan,737,657,10
Treasure,736,736,0
Monserrat,734,734,0
Mayra,733,733,0
Kaley,733,733,0
Robin,732,732,0
Monroe,732,732,0
Jamiyah,732,732,0
Demarcus,732,732,0
Brentley,731,731,0
Dior,731,419,39
Shania,729,729,0
Anson,729,425,38
Pamela,727,727,0
Khadijah,727,231,62
Egypt,726,318,51
Essence,725,725,0
Efraim,725,157,71
Callan,723,723,0
Dania,720,720,0
Brice,720,720,0
Ashlee,720,720,0
Geraldine,718,718,0
Mariama,718,142,72
Jaylon,717,717,0
Hezekiah,717,717,0
Damaris,716,716,0
Rubi,715,715,0
Kamille,715,715,0
Bradyn,715,715,0
Berkley,715,715,0
Todd,714,714,0
Freddy,714,714,0
Tinsley,713,713,0
Izayah,713,713,0
Rowen,712,712,0
Tyrell,711,711,0
Cassius,711,711,0
Leigha,710,710,0
Jabari,710,710,0
Derick,710,710,0
Aiyanna,709,709,0
Jessa,708,708,0
Theresa,707,707,0
Etty,707,91,77
Brecken,705,705,0
Emani,704,704,0
Nalani,704,624,10
Lianna,704,624,10
Gittel,704,160,68
Izabelle,703,703,0
Gilbert,702,702,0
Elvis,700,564,17
Rey,699,699,0
Isai,699,699,0
Zachery,696,696,0
Perry,696,392,38
Deegan,694,694,0
Thaddeus,693,693,0
Sofie,693,693,0
Amiah,692,692,0
Ernest,691,691,0
Rayyan,689,409,35
Santos,688,688,0
Clinton,687,687,0
Deon,686,686,0
Carsyn,686,686,0
Aubriana,686,686,0
Anais,686,582,13
Armaan,686,518,21
Lizeth,685,685,0
Janiah,685,685,0
Harmoni,684,684,0
Alianna,684,684,0
Cael,683,683,0
Pinchas,683,91,74
Tyree,682,682,0
Iyanna,682,682,0
Abagail,680,680,0
Eliel,679,327,44
Agustin,677,677,0
Addie,677,677,0
Karmen,675,675,0
Darnell,675,675,0
Houston,674,674,0
Rebeca,673,673,0
Kaleah,673,673,0
Cortez,673,673,0
Violeta,672,672,0
Saint,672,0,84
Aracely,671,671,0
Hawa,671,159,64
Collins,670,670,0
Hershel,670,110,70
Bridger,669,669,0
Janice,669,589,10
Raizel,669,149,65
Nailah,668,492,22
Stevie,667,579,11
Miller,666,666,0
Arden,666,666,0
Gavriel,666,162,63
Zaniya,664,664,0
Aharon,664,184,60
Shaylee,663,663,0
Kierra,663,663,0
Juelz,663,663,0
Carmine,663,375,36
Maxton,662,662,0
Haiden,662,662,0
Benton,662,662,0
Shyanne,661,661,0
Payten,660,660,0
Kaidence,659,659,0
Promise,658,658,0
Dario,658,658,0
Ahuva,658,234,53
Cayson,657,657,0
Jordin,656,656,0
Honesty,655,655,0
Davon,655,655,0
Montserrat,655,559,12
Jaslyn,654,574,10
Ayat,654,62,74
Sydnee,653,653,0
Maren,653,653,0
Keon,653,653,0
Donte,652,652,0
Damari,652,652,0
Faye,652,572,10
Arlette,652,444,26
Bruchy,650,66,73
Abigale,649,649,0
Maite,646,646,0
Ivana,646,646,0
Denisse,646,494,19
Emir,646,358,36
Kaylah,645,645,0
Aven,645,645,0
Roderick,644,644,0
Kamilah,644,644,0
Gretchen,644,644,0
Blaise,644,644,0
Yossi,644,68,72
Chavy,643,67,72
Saylor,642,642,0
Delia,642,642,0
Hugh,641,641,0
Dani,639,639,0
Preslee,638,638,0
Karli,638,638,0
Eitan,638,198,55
Elisheva,638,182,57
Maylee,637,637,0
Darryl,637,637,0
Kalani,637,549,11
Farah,637,477,20
Nicolette,637,469,21
Magdalena,636,636,0
Anders,636,636,0
Darien,635,635,0
Yasmine,634,634,0
Ailyn,633,633,0
Avrum,633,81,69
Lucca,632,632,0
Lorena,632,632,0
Kaila,632,632,0
Enoch,632,632,0
Sholom,632,120,64
Zackery,631,631,0
Marin,631,631,0
Stephany,629,629,0
Mack,628,628,0
Annette,628,628,0
Leela,628,548,10
Aviva,628,180,56
Leilah,627,627,0
Magnolia,626,626,0
Ignacio,624,624,0
Alfred,624,624,0
Golda,624,80,68
Gwen,623,623,0
Aarush,623,623,0
Hinda,623,87,67
Annelise,622,622,0
Lillyanna,621,621,0
Brenton,621,621,0
Unique,619,619,0
Briar,619,619,0
Tamara,618,618,0
Johann,618,618,0
Jenesis,618,618,0
Reilly,616,616,0
Bonnie,616,616,0
Idris,615,311,38
Zeke,614,614,0
Pierre,614,614,0
Areli,614,614,0
Abrianna,614,614,0
Elayna,610,610,0
Maryjane,609,609,0
Gracyn,608,608,0
Darlene,608,608,0
Baylor,608,608,0
Turner,607,607,0
Deven,606,606,0
Christiana,606,606,0
Chasity,605,605,0
Perel,605,101,63
Malaki,604,604,0
Sally,603,603,0
Dangelo,603,603,0
Shreya,602,602,0
Howard,602,602,0
Fallon,602,602,0
Broderick,602,602,0
Jazzlyn,601,601,0
Pyper,600,600,0
Irvin,600,600,0
Jurnee,599,599,0
Sunny,598,598,0
Rylen,598,598,0
Katalina,598,598,0
Anjali,597,597,0
Mariela,596,596,0
Iyana,596,596,0
Cristiano,596,596,0
Makiyah,594,594,0
Kohen,593,593,0
Cristal,593,593,0
Yair,591,591,0
Soraya,591,591,0
Asha,591,591,0
Amia,591,591,0
Truman,590,590,0
Jakobe,590,590,0
Gaige,590,590,0
Alanah,589,589,0
Frimet,589,61,66
Ross,587,587,0
Leroy,587,587,0
Kayley,587,587,0
Shloime,587,67,65
Luisa,586,586,0
Ivory,586,586,0
Ananya,586,586,0
Taniyah,585,585,0
Cheskel,585,57,66
Kadyn,584,584,0
Jeramiah,584,584,0
Eliot,584,584,0
Aayan,584,208,47
Yaretzy,583,583,0
Quinten,583,583,0
Kyron,583,583,0
Calista,583,583,0
Abbygail,583,583,0
Jariel,583,383,25
Selene,582,582,0
Ellianna,581,581,0
Shaina,581,205,47
Nigel,580,580,0
Humberto,580,580,0
Jad,580,276,38
Pinchus,580,60,65
Karley,579,579,0
Gino,579,579,0
Clementine,579,467,14
Shaindel,579,107,59
Tanya,578,578,0
Maribel,578,578,0
Eliseo,578,578,0
Shifra,578,130,56
Moishe,578,90,61
Zahir,577,377,25
Cayla,575,575,0
Cassie,575,575,0
Tyrese,574,574,0
Jayvion,574,574,0
Hadlee,574,574,0
Evangelina,574,574,0
Aditi,574,574,0
Naya,573,477,12
Vivien,572,572,0
Reuben,571,571,0
Kaidyn,571,571,0
Donna,570,570,0
Kamren,569,569,0
Everleigh,569,569,0
Emmie,569,569,0
Ariya,569,569,0
Daleyza,569,465,13
Frady,568,40,66
Emmeline,567,567,0
Chyna,567,567,0
Sima,566,126,55
Penny,565,565,0
Leena,565,565,0
Kamya,564,564,0
Graysen,562,562,0
Clarence,560,560,0
Kabir,560,176,48
Annaliese,559,559,0
Emme,557,557,0
Hersh,557,77,60
Savanah,556,556,0
Mylah,556,556,0
Kalia,556,556,0
Brittney,556,556,0
Precious,555,555,0
Adley,555,555,0
Binyomin,555,131,53
Jerimiah,554,554,0
Briggs,553,553,0
Anniston,553,553,0
Santana,552,552,0
Carsen,552,552,0
Jaquan,550,550,0
Evelin,550,550,0
Ellery,550,550,0
Yitzchak,550,118,54
Sarina,548,548,0
Benzion,548,68,60
Kamora,547,547,0
Jaron,547,547,0
Henley,547,547,0
Skylah,547,363,23
Arleth,547,347,25
Keyon,546,546,0
Anton,546,546,0
Umar,546,194,44
Ariyana,545,545,0
Yadira,544,544,0
Soleil,544,544,0
Dimitri,544,544,0
Abdul,544,336,26
Nazir,543,367,22
Jaziel,543,335,26
Shevy,543,39,63
Titan,542,542,0
Taj,542,542,0
Duke,542,542,0
Rileigh,541,541,0
Karsen,541,541,0
Carlo,541,541,0
Arlene,541,541,0
Laith,541,269,34
Pranav,540,540,0
Dion,540,460,10
Manha,540,172,46
Mariano,539,539,0
Cordelia,539,539,0
Antwan,539,539,0
Nikhil,538,538,0
Veda,537,537,0
Anneliese,537,537,0
Emerie,536,536,0
Trystan,535,535,0
Sonya,535,535,0
Keila,535,535,0
Jamiya,535,535,0
Jaslene,534,534,0
Desirae,534,534,0
Immanuel,533,533,0
Corban,533,533,0
Ashleigh,533,533,0
Jaydan,532,532,0
Otis,532,372,20
Shaila,531,531,0
Joan,531,531,0
Zelda,531,251,35
Maxx,530,530,0
Alexus,530,530,0
Malayah,528,528,0
Kloe,528,528,0
Dayanna,527,527,0
Jaydin,526,526,0
Jaedyn,526,526,0
Silvia,525,525,0
Jovan,525,525,0
Lucero,524,524,0
Celina,524,524,0
Maxine,523,523,0
Harleigh,523,523,0
Devan,523,523,0
Jeremias,523,435,11
Nyasia,522,522,0
Maddie,522,522,0
Kya,522,522,0
Bode,522,522,0
Lilyann,521,521,0
Kinlee,521,521,0
Brynley,521,521,0
Jericho,520,520,0
Addilynn,520,520,0
Ryley,519,519,0
Melinda,519,519,0
Simeon,518,518,0
Octavio,517,517,0
Naima,517,517,0
Garrison,517,517,0
Tzipora,517,117,50
Siddharth,516,516,0
Nyah,516,516,0
Yahya,516,428,11
Jalynn,515,515,0
Yariel,515,339,22
Langston,514,514,0
Hadleigh,514,514,0
Kael,513,513,0
Izzabella,513,513,0
Augustine,513,513,0
Sheldon,512,512,0
Denzel,512,512,0
Priya,510,510,0
Kianna,510,510,0
Forrest,510,510,0
Caleigh,510,510,0
Allisson,510,510,0
Susana,509,509,0
Ephraim,509,509,0
Adolfo,509,509,0
Keeley,508,508,0
Lathan,507,507,0
Duvid,506,58,56
Ulysses,505,505,0
Demarion,505,505,0
Analise,504,504,0
Koen,503,503,0
Caelyn,503,503,0
Brookelynn,503,503,0
Zack,502,502,0
Yarely,502,502,0
Miyah,501,501,0
Harlan,501,501,0
Aiza,501,197,38
Maksim,500,500,0
Jovanny,500,500,0
German,499,499,0
Taylin,498,498,0
Daylen,498,498,0
Dashawn,498,498,0
Gianluca,497,417,10
Tiara,496,496,0
Avani,496,496,0
Keely,495,495,0
Joslynn,495,495,0
Yvette,493,493,0
Romina,493,493,0
Londynn,493,493,0
Gerard,493,493,0
Dhruv,493,493,0
Ayva,493,493,0
Mireya,492,492,0
Vivianna,491,491,0
Rilynn,491,491,0
Marlie,491,491,0
Cierra,490,490,0
Brysen,490,490,0
Abigayle,489,489,0
Leilany,489,409,10
Raya,488,488,0
Leticia,488,488,0
Krista,487,487,0
Gordon,487,487,0
Elmer,487,487,0
Brayson,487,487,0
Samaya,486,486,0
Nikita,486,486,0
Jaclyn,486,486,0
Grecia,486,486,0
Elimelech,486,118,46
Tina,485,405,10
Abner,484,484,0
Reem,484,196,36
Ashly,483,483,0
Lucinda,482,482,0
Kylen,482,482,0
Avalyn,482,482,0
Grey,482,402,10
Baruch,481,121,45
Rita,480,480,0
Lamont,480,480,0
Lachlan,480,480,0
Coen,480,480,0
Chelsey,480,480,0
Imona,480,0,60
Josh,479,479,0
Audra,479,479,0
Amyah,479,479,0
Shirley,478,478,0
Leif,478,478,0
Anisa,478,398,10
Giuseppe,478,286,24
Peighton,477,477,0
Mika,477,477,0
Laniya,477,477,0
Khaleesi,477,293,23
Maura,476,476,0
Adela,476,476,0
Ramona,475,475,0
Marian,475,475,0
Marcello,475,475,0
Makaylah,475,475,0
Khalid,475,475,0
Estevan,475,475,0
Axton,475,475,0
Marquise,474,474,0
Jesiah,474,474,0
Atlas,474,378,12
Aedan,473,473,0
Chesky,473,57,52
Nashla,473,41,54
Sheila,472,472,0
Gillian,472,472,0
Breindy,472,72,50
Reuven,471,55,52
Destin,470,470,0
Ronaldo,469,469,0
Gina,469,469,0
Sami,469,381,11
Thatcher,468,468,0
Elya,468,36,54
Toni,467,467,0
Neriah,467,467,0
Slade,466,466,0
Kyan,466,466,0
Shloma,466,42,53
Taniya,465,465,0
Shaniyah,465,465,0
Zyon,464,464,0
Robyn,464,464,0
Chevy,463,463,0
Oumou,463,71,49
Nichole,462,462,0
Marion,462,462,0
Kalel,462,462,0
Rocky,461,461,0
Hailie,460,460,0
Amariah,460,460,0
Geovanni,459,459,0
Unknown,458,458,0
Reynaldo,458,458,0
Kooper,458,458,0
Carrie,458,458,0
Antony,458,458,0
Elvin,458,378,10
Nariah,457,457,0
Jersey,457,457,0
Aniston,457,457,0
Georgina,457,273,23
Susanna,456,456,0
Jamarcus,456,456,0
Cristofer,456,456,0
Colleen,456,456,0
Boden,456,456,0
Abdulloh,456,0,57
Kathy,455,455,0
Samaria,454,454,0
Colbie,454,454,0
Apollo,454,454,0
Maisie,454,342,14
Capri,453,453,0
Bridgette,453,453,0
Bernard,453,453,0
Leora,453,125,41
Ziva,452,452,0
Kinslee,452,452,0
Karl,452,452,0
Shaul,452,84,46
Veer,451,347,13
Yisrael,451,131,40
Jannat,451,131,40
Glenn,450,450,0
Canaan,450,450,0
Treyvon,449,449,0
Ever,449,449,0
Chiara,449,369,10
Karim,448,448,0
Sammy,448,360,11
Kaycee,447,447,0
Izabel,447,447,0
Elora,447,447,0
Adalee,447,447,0
Katy,446,446,0
Maylin,445,445,0
Marjorie,445,445,0
Lidia,445,445,0
Meilech,445,53,49
Shayna,444,444,0
Holland,444,444,0
Benicio,444,444,0
Alora,444,444,0
Scout,443,443,0
Magnus,443,443,0
Aubriella,443,443,0
Jordon,442,442,0
Yaseen,442,362,10
Maycee,441,441,0
Isha,441,441,0
Dale,441,441,0
Margarita,440,440,0
Jailyn,440,440,0
Hillary,440,440,0
Gannon,440,440,0
Addalyn,440,440,0
Ford,440,360,10
Stetson,439,439,0
Kannon,439,439,0
Johana,439,439,0
Bilal,439,439,0
Alli,439,439,0
Ariyanna,438,438,0
Ares,438,438,0
Lesley,437,437,0
Kase,437,437,0
Rivkah,437,61,47
Lacie,436,436,0
Korbyn,436,436,0
Kenzi,436,436,0
Viktor,436,356,10
Kayli,435,435,0
Itzayana,435,435,0
Eddy,435,435,0
Stephan,434,434,0
Katerina,434,434,0
Brighton,434,434,0
Frieda,434,50,48
Clyde,433,433,0
Bishop,433,433,0
Kristin,432,432,0
Stacey,431,431,0
Milton,431,431,0
Leeland,431,431,0
Gonzalo,431,431,0
Elly,431,431,0
Vladimir,430,430,0
Samya,430,430,0
Roxana,430,430,0
Jamel,429,429,0
Tallulah,429,341,11
Guy,429,341,11
Perl,429,61,46
Zavion,428,428,0
Domenic,428,428,0
Marcella,427,427,0
Eunice,427,427,0
Deasia,427,427,0
Coral,427,427,0
Mikel,426,426,0
Judson,426,426,0
Adilene,426,426,0
Shamar,425,425,0
Syeda,425,129,37
Makaila,423,423,0
Lucie,423,423,0
Kalea,423,423,0
Graeme,423,423,0
Carmella,423,423,0
Mayte,422,422,0
Jarrett,422,422,0
Jaleel,422,422,0
Jai,422,422,0
Elyssa,422,422,0
Destini,422,422,0
Andreas,422,422,0
Nayla,422,318,13
Anabia,422,30,49
Anita,421,421,0
Anish,421,421,0
Amarion,421,421,0
Vince,420,420,0
Jencarlos,420,420,0
Ethen,420,420,0
Ismail,420,332,11
Rosalyn,419,419,0
Carli,419,419,0
Vida,418,418,0
Kamiya,418,418,0
Belle,418,418,0
Dillan,417,417,0
Denver,417,417,0
Lucien,416,416,0
Cristobal,416,416,0
Maddux,415,415,0
Jovie,415,415,0
Graciela,415,415,0
Foster,415,415,0
Evalynn,415,415,0
Berl,415,23,49
Nick,414,414,0
Jarvis,414,414,0
Dereck,414,414,0
Nya,413,413,0
Laci,413,413,0
Dayanara,413,413,0
Isaak,412,412,0
Cornelius,412,412,0
Heavenly,412,300,14
Sahana,411,411,0
Lanie,411,411,0
Kadin,411,411,0
Joselin,411,411,0
Citlali,410,410,0
Adamaris,410,410,0
Whitley,409,409,0
Keanu,409,409,0
Gwenyth,409,409,0
Carol,409,409,0
Britton,409,409,0
Keshawn,408,408,0
Jackeline,408,408,0
Coby,407,407,0
Alyse,407,407,0
Abdoulaye,407,71,42
Delanie,405,405,0
Amerie,405,405,0
Rigoberto,404,404,0
Jazelle,404,404,0
Kaysen,403,403,0
Lian,403,219,23
Nava,403,99,38
Yaneli,402,402,0
Stone,402,402,0
Rishi,402,402,0
Blanca,402,402,0
Kyran,401,401,0
Katia,401,401,0
Tristyn,400,400,0
Kamarion,400,400,0
Ira,400,400,0
Sahara,399,399,0
Nelly,399,399,0
Oskar,399,311,11
Safwan,399,39,45
Aleeah,398,398,0
Jovany,397,397,0
Dariana,397,397,0
Oumar,397,61,42
Goldie,397,53,43
Mikael,396,396,0
Kenleigh,396,396,0
Kelton,396,396,0
Jordy,396,396,0
Brissa,396,396,0
Annaleigh,396,396,0
Mouhamed,396,44,44
Vivaan,395,395,0
Brandi,395,395,0
Ariadne,395,395,0
Geneva,394,394,0
Fredrick,394,394,0
Estefany,394,394,0
Zaira,393,393,0
Talan,393,393,0
Makenzi,393,393,0
Estefania,393,393,0
Nadine,392,392,0
Dua,392,32,45
Xochitl,391,391,0
Maximillian,391,391,0
Colson,391,391,0
Florence,391,159,29
Arianny,390,390,0
Shayan,390,142,31
Zayd,389,389,0
Josselyn,389,389,0
Corbyn,389,389,0
Serafina,389,221,21
Zaylee,388,388,0
Tayla,388,388,0
Beatrix,388,388,0
Addelyn,388,388,0
Shyann,387,387,0
Mariajose,387,387,0
Justine,387,387,0
Dalila,387,387,0
Nathen,386,386,0
Kenyon,386,386,0
Adilyn,386,386,0
Adiel,386,210,22
Avigail,386,130,32
Zahara,385,385,0
Jaya,385,385,0
Maiya,384,384,0
Kaci,384,384,0
Darla,384,384,0
Brantlee,384,384,0
Ayah,384,384,0
Avalynn,384,384,0
Adilynn,384,384,0
Ester,384,296,11
Zalmen,384,64,40
Mariella,383,383,0
Kensington,383,383,0
Aida,383,383,0
Rosalia,383,207,22
Tremaine,382,382,0
Noelia,382,382,0
Mikah,382,382,0
Abrar,382,38,43
Rian,381,381,0
Linnea,381,381,0
Theodora,381,125,32
Roizy,381,53,41
Jaylani,380,180,25
Andi,379,379,0
Abygail,379,379,0
Judy,379,299,10
Alba,379,291,11
Romy,379,99,35
Gisele,378,378,0
Finnley,378,378,0
Beatriz,378,378,0
Ibrahima,378,82,37
Rylynn,377,377,0
Lillyan,377,377,0
Audree,377,377,0
Ahron,377,121,32
Katarina,376,376,0
Cormac,376,376,0
Angely,376,376,0
Hillel,376,72,38
Amar,375,375,0
Safa,375,191,23
Yida,375,55,40
Jayvon,374,374,0
Tatianna,373,373,0
Elia,373,373,0
Raniyah,372,372,0
Eliam,372,92,35
Aissatou,372,68,38
Colter,371,371,0
Aminah,371,371,0
Laken,370,370,0
Aleksander,370,370,0
Lillyann,369,369,0
Jakari,369,369,0
Jionni,368,368,0
Jackie,368,368,0
Bernardo,368,368,0
Jacobi,367,367,0
Ema,367,367,0
Rayleigh,366,366,0
Nachman,366,78,36
Yahaira,365,365,0
Sandy,365,365,0
Jahmir,364,364,0
Michal,364,172,24
Elana,363,363,0
Bodie,363,363,0
Ewan,362,362,0
Eleni,362,362,0
Anaiah,362,362,0
Seraphina,360,360,0
Makinley,360,360,0
Braedyn,360,360,0
Mackenna,359,359,0
Keller,359,359,0
Kacey,359,359,0
Devonte,359,359,0
Sheyla,358,358,0
Viola,357,357,0
Malina,357,357,0
Lilyan,357,357,0
Benny,357,357,0
Tyshawn,356,356,0
Lela,356,356,0
Kenton,356,356,0
Gentry,356,356,0
Amal,356,116,30
Vianney,355,355,0
Lacy,355,355,0
Javian,355,355,0
Harmonie,355,355,0
Zaden,354,354,0
Kelis,354,354,0
Ariadna,354,258,12
Ridge,353,353,0
Lenny,353,353,0
Emerald,353,353,0
Adelle,353,353,0
Lizette,352,352,0
Ila,352,352,0
Malika,352,104,31
Fradel,352,80,34
Zhuri,352,0,44
Isadora,351,351,0
Efren,351,351,0
Ophelia,351,255,12
Massimo,350,350,0
Fabiola,350,350,0
Darcy,350,350,0
Brynna,350,350,0
Ayala,350,54,37
Taya,349,349,0
Savion,349,349,0
Jaycie,349,349,0
Moishy,349,21,41
Sebastien,348,348,0
Norman,348,348,0
Karolina,348,348,0
Irving,348,348,0
Eryn,348,348,0
Betty,348,348,0
Moussa,348,76,34
Rocio,347,347,0
Raheem,347,347,0
Monique,347,347,0
Gizelle,347,347,0
Kye,346,346,0
Drayden,346,346,0
Alize,346,346,0
Tobin,345,345,0
Jazmyne,345,345,0
Alton,345,345,0
Tracy,344,344,0
Della,344,344,0
Nestor,343,343,0
Leanne,343,343,0
Jianna,343,343,0
Anayah,343,343,0
Alexandro,343,343,0
Josslyn,342,342,0
Jiselle,342,342,0
Constance,342,342,0
Keren,341,341,0
Janie,341,341,0
Vicky,341,261,10
Azaan,341,125,27
Said,340,340,0
Emmet,340,340,0
Daria,340,252,11
Miabella,339,339,0
